plot_quad,other20.bio,VD2020_biomass,VD19_biomass,VD19_cover,Other19_cover,Other19_biomass,VD2020_cover
ARRI01_N.6,0.02,2.29,0.27,10,10,1.73,20
ARRI01_N.7,0.03,3.69,1.16,37,11,0.52,32
ARRI01_NN1,0.01,2.15,1.43,40,39,1.62,7
ARRI01_NN2,0.02,1.26,0.56,13,24,4.2,7
ARRI01_NN3,0.17,0,0,0,27,1.84,0
ARRI02_C.1,0.85,5.3,2.36,33,14,NA,45
ARRI02_C.2,2.32,3.64,0.92,13,7,NA,25
ARRI02_C.3,1.27,5.32,2.5,43,7,NA,22
ARRI02_C.4,2.2,2.22,0.48,13,27,NA,11
ARRI02_C.5,1.68,4.11,1.11,17,12,NA,33
ARRI02_C.6,4.73,3.86,1.58,17,27,NA,17
ARRI02_C.7,5.32,1.43,2.25,20,18,NA,10
ARRI02_CC1,4.68,4.12,1.1,23,19,NA,10
ARRI02_CC2,1.13,0.57,0.71,13,12.25,NA,6
ARRI02_CC3,2.67,8.83,6.88,78,13,NA,32
ARRI02_N.1,0.1,0.81,1.88,18,12,0.55,10
ARRI02_N.2,0.27,6.26,2.54,28,18,1.34,26
ARRI02_N.3,0.11,6.69,1.55,25,12,0.87,36
ARRI02_N.4,0.26,2.71,0.99,20,6,1.02,24
ARRI02_N.5,0.22,7.19,3.71,45,27.25,2.77,38
ARRI02_N.6,0.02,8.38,3.06,42,16.25,0.7,37
ARRI02_N.7,0.23,3.99,2.11,55,5,0.52,36
ARRI02_NN1,0.17,2.71,1.61,20,9,0.53,18
ARRI02_NN2,1.11,7.09,2.69,40,10.25,0.98,30
ARRI02_NN3,0.05,5.27,1.01,30,18.25,1.33,28
ARRI03_C.1,1.97,1.9,1.03,28,19.5,NA,37
ARRI03_C.2,4.28,1.24,0.01,7,38,NA,14
ARRI03_C.3,2.29,1.28,0.42,3,27,NA,19
ARRI03_C.4,4.78,1.72,1.01,35,52.25,NA,35
ARRI03_C.5,4.43,0.77,0.12,6,35,NA,18
ARRI03_C.6,2.82,0.78,0.18,8,17,NA,17
ARRI03_C.7,1.2,1.66,1.08,25,25,NA,32
ARRI03_CC1,5.1,0.74,0.01,18,41.25,NA,18
ARRI03_CC2,1.7,1.06,1.84,37,13,NA,20
ARRI03_CC3,4.82,0.005,0,0,18.25,NA,0.25
ARRI03_N.1,1.15,1.12,0.13,3,44.5,4.14,26
ARRI03_N.2,0.11,1.29,0.67,30,25.5,1.14,19
ARRI03_N.3,0.41,2.31,0.93,17,25.25,2.53,38
ARRI03_N.4,0.005,1.6,1.53,42,10.25,1.13,35
ARRI03_N.5,0.18,0.69,0.01,4,27.25,1.32,20
ARRI03_N.6,0.35,1.4,0.01,2,17.25,1.1,27
ARRI03_N.7,0.4,1.21,0.23,4,32.5,1.66,16
ARRI03_NN1,0.43,0.13,0.01,5,17.25,1.77,3
ARRI03_NN2,0.2,0,0,0,20,1.89,0
ARRI03_NN3,0.26,1.31,1,30,19,1.25,24
ARRI04_C.1,1.76,6.05,2.11,70,30,NA,45
ARRI04_C.2,1.89,1.38,0.22,10,20,NA,15
ARRI04_C.3,0.91,3.23,1.19,35,9,NA,23
ARRI04_C.4,1.16,4.11,0.83,26,8.5,NA,36
ARRI04_C.5,3.77,3.21,1.29,35,22,NA,27
ARRI04_C.6,2.12,2.12,0.43,12,14,NA,18
ARRI04_C.7,1.62,2.41,0.48,25,13,NA,24
ARRI04_CC1,1.76,0.33,0.01,2,16,NA,1
ARRI04_CC2,1.82,1.88,0.01,4,24,NA,7
ARRI04_CC3,1.23,0.93,0.27,12,10.5,NA,5
ARRI04_N.1,0.07,0.6,0,0,28,1.1,8
ARRI04_N.2,0,4.38,1.3,50,21,1.32,62
ARRI04_N.3,0.06,5.44,0.67,22,12,0.92,45
ARRI04_N.4,0.06,3.73,1.45,36,9,0.55,24
ARRI04_N.5,0.04,0.91,0.31,7,4,0.16,7
ARRI04_N.6,0.1,1.06,0.01,7,12,0.58,7
ARRI04_N.7,0,3.03,1.08,32,3.5,0.01,22
ARRI04_NN1,0.03,2.02,0.01,12,2,0.01,11
ARRI04_NN2,0,0.49,0.26,10,8.5,0.28,4
ARRI04_NN3,0,9.87,1.55,40,36,8.03,55
ARRI05_C.1,13.57,2.36,0.64,14,44,NA,9
ARRI05_C.2,4.92,5.52,0.69,16,27.25,NA,19
ARRI05_C.3,1.21,6.67,0.91,30,24.25,NA,35
ARRI05_C.4,2.08,5.03,2,35,17.25,NA,22
ARRI05_C.5,2.72,3.99,0.5,38,23.25,NA,35
ARRI05_C.6,0.72,2.81,0.01,4,12,NA,17
ARRI05_C.7,20.16,3.04,0.22,8,38.25,NA,16
ARRI05_CC1,3.25,2.89,1.08,27,30.25,NA,13
ARRI05_CC2,2.04,3.41,1.06,25,15,NA,13
ARRI05_CC3,1.02,3.45,0.66,22,14.25,NA,16
ARRI05_N.1,0.44,4.31,1.81,55,17.25,1.75,29
ARRI05_N.2,0.25,3.76,1.09,37,9.5,0.75,22
ARRI05_N.3,0.02,3.85,3.22,87,5.5,0.17,17
ARRI05_N.4,0.06,4.51,1.4,27,20.5,2.34,28
ARRI05_N.5,0.19,1.74,0.19,6,17.25,2.54,11
ARRI05_N.6,0.12,5.67,0.63,23,35.25,1.35,30
ARRI05_N.7,0.29,1.97,0.01,2,17,1.85,15
ARRI05_NN1,0.52,3.97,1.16,27,20.5,1.75,14
ARRI05_NN2,0.15,1.32,0.72,25,12.25,0.93,7
ARRI05_NN3,0.4,1.22,0.3,22,15,3.88,4
SEEP01_C.1,11.34,2.07,1.68,32,59,NA,9
SEEP01_C.2,9.27,1.59,1.47,35,93.5,NA,12
SEEP01_C.3,2.5,6.51,1.63,58,28.25,NA,28
SEEP01_C.4,6.53,4.29,0.98,18,61,NA,16
SEEP01_C.5,4.96,1.5,0.67,20,59,NA,13
SEEP01_C.6,4.54,5.63,2.8,45,73.25,NA,18
SEEP01_C.7,5.89,3.73,2.27,36,62.25,NA,17
SEEP01_CC1,14.42,4.77,2.3,32,72,NA,16
SEEP01_CC2,8.64,1.99,2.55,53,74.5,NA,7
SEEP01_CC3,3.21,1.59,2.57,40,28,NA,7
SEEP01_N.1,0.21,0.6,0.15,7,80.5,0.01,5
SEEP01_N.2,0.11,1.92,1.83,33,49,2.73,10
SEEP01_N.3,0.33,2.36,0.57,15,54,3.21,14
SEEP01_N.4,0.75,4.71,1.45,43,69,3.45,14
SEEP01_N.5,0.22,4.94,3.43,65,27.25,1.09,28
SEEP01_N.6,0.33,4.31,2.2,43,72.5,4.5,27
SEEP01_N.7,0.6,4.84,1.47,39,72.25,3.53,26
SEEP01_NN1,0.11,2.43,3.54,50,34.5,3.43,8
SEEP01_NN2,0.27,3.65,1.74,40,51.75,4.48,13
SEEP01_NN3,0.52,2.5,2.19,30,82.25,0.75,7
SEEP02_C.1,9.76,13,0.85,45,24,NA,57
SEEP02_C.2,9.03,4.39,0.58,18,47,NA,31
SEEP02_C.3,4.71,11.82,1.42,46,24,NA,62
SEEP02_C.4,6.63,4.25,3.94,75,40,NA,33
SEEP02_C.5,15.75,3.93,0.81,7,74,NA,18
SEEP02_C.6,11.97,7.54,1.74,55,46,NA,55
SEEP02_C.7,3.33,6.23,2.03,20,82,NA,37
SEEP02_CC1,12.19,5.41,3.4,80,48,NA,17
SEEP02_CC2,11.29,6.57,0.93,15,76,NA,25
SEEP02_CC3,13.58,5.41,0.58,18,30,NA,18
SEEP02_N.1,1.13,4.15,2.8,75,53.25,1.58,25
SEEP02_N.2,0.99,7.75,0.9,22,64,3.11,40
SEEP02_N.3,0.65,6.85,1.34,31,38.25,3.55,32
SEEP02_N.4,0.78,10.18,0.65,25,63,6.1,49
SEEP02_N.5,1.06,9,2.5,40,80,4.06,45
SEEP02_N.6,0.57,6.99,1.77,70,37.25,3.98,25
SEEP02_N.7,0.56,0.63,1.16,33,41.5,3.04,8
SEEP02_NN1,0.81,9.57,4.16,70,50,6.34,45
SEEP02_NN2,0.64,14.48,1.03,40,53.25,4.33,63
SEEP02_NN3,0.74,3.33,3.17,40,58,4.28,22
SEEP03_C.1,7.02,1.84,1.4,30,51,NA,23
SEEP03_C.2,6.51,2.32,2.42,40,35.25,NA,9
SEEP03_C.3,15.94,1.52,0.59,15,72,NA,9
SEEP03_C.4,5.68,2.73,0.66,45,33.25,NA,22
SEEP03_C.5,3.45,2.89,2.06,60,51,NA,14
SEEP03_C.6,8.35,4.11,2.62,70,62,NA,34
SEEP03_C.7,6.75,4.06,1.92,60,55,NA,33
SEEP03_CC1,8.28,0.95,1.08,20,118,NA,14
SEEP03_CC2,19.54,0.82,0.89,20,57,NA,7
SEEP03_CC3,7.17,0.19,0.97,30,116,NA,0.25
SEEP03_N.1,4.64,1.79,1.35,50,60,3.7,7
SEEP03_N.2,2.89,3.33,0.7,20,92.25,8.11,13
SEEP03_N.3,4.04,2.11,0.99,25,84,10.5,20
SEEP03_N.4,2.78,3.28,0.16,10,134,6.47,14
SEEP03_N.5,2.69,0.74,2.78,40,65,11.68,5
SEEP03_N.6,1.7,1.94,0.97,40,68,5.06,11
SEEP03_N.7,3.08,3.19,0.86,15,81.25,3.58,15
SEEP03_NN1,4.86,0.9,1.12,13,81,10.52,4
SEEP03_NN2,3.54,0.15,0.79,20,102,10.41,0.25
SEEP03_NN3,3.91,2.08,1.39,20,69.25,4.25,8
SEEP04_C.1,12.16,4.6,0.65,20,73.25,NA,25
SEEP04_C.2,3.02,8.88,1.14,35,25,NA,50
SEEP04_C.3,34.97,4.09,0.82,10,74,NA,15
SEEP04_C.4,17.14,4.33,0.47,10,65,NA,20
SEEP04_C.5,10.98,2.11,0.08,6,45,NA,13
SEEP04_C.6,18.22,2.5,0.33,10,72,NA,15
SEEP04_C.7,10.4,2.63,0.73,15,78,NA,15
SEEP04_CC1,9.81,9.18,1.66,70,41,NA,70
SEEP04_CC2,13.3,2.56,0.86,20,47,NA,22
SEEP04_CC3,12.62,1.65,0.27,6,55,NA,12
SEEP04_N.1,0.39,7.21,3.05,75,44,2.68,35
SEEP04_N.2,0.53,8.45,1.95,50,49,4.89,35
SEEP04_N.3,0.3,10.88,1.74,50,44,3.71,58
SEEP04_N.4,0.15,3.55,0.8,7,53,7.4,17
SEEP04_N.5,0.88,2.88,0.15,5,65,18.07,11
SEEP04_N.6,0.15,3.48,0.7,20,28,3.8,13
SEEP04_N.7,0.69,7.53,0.31,15,78,7.7,40
SEEP04_NN1,0.28,5.86,0.93,30,47,6,40
SEEP04_NN2,0.23,3.26,0.9,12,53,39.46,13
SEEP04_NN3,0.47,5.73,1.54,65,52,5.75,23
SEEP05_C.1,13.35,0.16,0.03,2,119,NA,2
SEEP05_C.2,12.55,0.39,0,0,119,NA,4
SEEP05_C.3,9.82,0.97,0,0,89,NA,11
SEEP05_C.4,15.17,0.85,0,0,100.25,NA,8
SEEP05_C.5,9.03,1.87,0.12,10,84,NA,17
SEEP05_C.6,10.63,6.4,2.23,60,85,NA,45
SEEP05_C.7,8,2.85,0.28,13,81,NA,22
SEEP05_CC1,21.18,0.28,0.04,2,126,NA,0.25
SEEP05_CC2,14.1,0,0,0,98,NA,0
SEEP05_CC3,14.56,2.13,0.08,4,102.25,NA,13
SEEP05_N.1,7.81,1.37,0,0,106.5,7.19,11
SEEP05_N.2,6,0.73,0,0,101,6.5,8
SEEP05_N.3,9.07,0.49,0,0,123,11.73,3
SEEP05_N.4,5.87,0.85,0.08,5,93.25,5.05,13
SEEP05_N.5,6.82,1.34,0.2,10,101.25,4.06,13
SEEP05_N.6,4.01,1.5,0,0,91,8.83,9
SEEP05_N.7,8.42,0.77,0,0,109.5,10.7,7
SEEP05_NN1,7.95,0.14,0.07,5,96,9.86,0
SEEP05_NN2,6.26,0,0.04,5,80.25,14.45,1
SEEP05_NN3,6.57,0.005,0,0,105,7.99,0
