"","vegtype","estimate","SE","df","lower.CL","upper.CL","var_name"
"50","ARAR",0.0702121250846497,0.197140469162607,86,-0.321690156997705,0.462114407167004,"SLA.gap"
"51","SEEP",0.308682152894945,0.263119227141445,86,-0.214381559058709,0.831745864848599,"SLA.gap"
"52","ARRI",-0.098116776083673,0.281975260921884,86,-0.658665042583459,0.462431490416113,"height.gap"
"53","ARAR",-0.324031941478798,0.381807499809666,86,-1.08304013054903,0.434976247591435,"height.gap"
"54","SEEP",0.556947614145091,0.440173669424384,86,-0.318088679989389,1.43198390827957,"height.gap"
"55","ARRI",-0.0744570458268491,0.159057365513868,86,-0.39065262348613,0.241738531832432,"root.shoot.gap"
"56","ARAR",-0.159466918487661,0.261994130498337,86,-0.680294012339154,0.361360175363833,"root.shoot.gap"
"57","SEEP",-0.276147163693464,0.472280607945181,86,-1.21500993917105,0.662715611784121,"root.shoot.gap"
"58","ARRI",0.040348348159915,0.303483435712077,86,-0.562956754719063,0.643653451038893,"N.perc.gap"
"59","ARAR",-0.472430359590452,0.383605982108503,86,-1.23501381314186,0.290153093960954,"N.perc.gap"
"60","SEEP",0.354503308651617,0.516545882478204,86,-0.672355920218726,1.38136253752196,"N.perc.gap"
"61","ARRI",-0.0439122296268931,0.164537045249761,86,-0.371001050072391,0.283176590818605,"RootLength.cm.gap"
"62","ARAR",-0.276912480632619,0.148459750107674,86,-0.57204069612136,0.0182157348561224,"RootLength.cm.gap"
"63","SEEP",-0.189635240930009,0.30420082668161,86,-0.794366469856568,0.415095987996551,"RootLength.cm.gap"
"64","ARRI",-0.0621952007156888,0.231687262106506,86,-0.522774234207078,0.3983838327757,"RootAvgDiam.mm.gap"
"65","ARAR",-0.233940232160885,0.35481368779585,86,-0.939286498972069,0.471406034650298,"RootAvgDiam.mm.gap"
"66","SEEP",-1.74296458472542,1.10220225652899,86,-3.93407015267323,0.448140983222387,"RootAvgDiam.mm.gap"
